arm,update_center,mean,seed0,seed1,seed2,fitted_tail
stg-full,45250.5,0.047322971013685065,0.04775522040575743,0.04756082306057215,0.04665286957472563,0.047217427472179024
stg-full,45750.5,0.04715013065189123,0.04782191619277001,0.04678761087357998,0.046840864889323715,0.04719279024405283
stg-full,46250.5,0.04696828557302555,0.047487855233252045,0.04679667214304209,0.0466203293427825,0.04716855909719196
stg-full,46750.5,0.04697525252153476,0.04754852580279112,0.047012327186763285,0.046364904575049874,0.047144723055830194
stg-full,47250.5,0.04710883786032597,0.04775457992404699,0.046912255987524985,0.04665967766940594,0.047121271554156005
stg-full,47750.5,0.047090373642742635,0.04765693329274654,0.04690600578486919,0.046708181850612165,0.04709819441685749
stg-full,48250.5,0.04693142762035132,0.047591720417141915,0.04684804853796959,0.04635451390594244,0.04707548184078308
stg-full,48750.5,0.04733284412324429,0.04791363783180714,0.04714838324487209,0.04693651129305363,0.04705312437764324
stg-full,49250.5,0.04699450579285622,0.047375084325671196,0.04686800030618906,0.046740432746708395,0.047031112917684116
stg-full,49750.5,0.04681128278623025,0.047315215267241,0.04662576067447662,0.04649287241697311,0.04700943867426915
freetimegs-sparse,5250.5,0.11572174774110318,0.11659031052887439,0.11460562206804753,0.1159693106263876,
freetimegs-sparse,5750.5,0.11197365189095337,0.11275930611789227,0.11131297509372234,0.11184867446124554,
freetimegs-sparse,6250.5,0.10858957183857759,0.10929733546078205,0.10804623582959175,0.10842514422535897,
freetimegs-sparse,6750.5,0.10590701053539912,0.10698102508485317,0.10561680203676224,0.10512320448458194,
freetimegs-sparse,7250.5,0.10360813756287097,0.1041132451593876,0.10292742127180099,0.10378374625742436,
freetimegs-sparse,7750.5,0.10171645806729794,0.10218595683574677,0.10153753411769867,0.10142588324844837,
freetimegs-sparse,8250.5,0.09961926398674648,0.10023095609247684,0.09987570884823799,0.09875112701952457,
freetimegs-sparse,8750.5,0.09795229224363962,0.09786921365559101,0.09811946332454681,0.09786819975078107,
freetimegs-sparse,9250.5,0.09558637021978696,0.09569503675401211,0.09500008101761341,0.09606399288773537,
freetimegs-sparse,9750.5,0.09443622492750486,0.0948960320353508,0.09464338660240174,0.09376925614476204,
freetimegs-sparse,10250.5,0.09273516724010307,0.09332052300870418,0.09228006859123707,0.092604910120368,
freetimegs-sparse,10750.5,0.09136194604138533,0.09246305099129677,0.09056971524655819,0.09105307188630105,
freetimegs-sparse,11250.5,0.08984418907761572,0.09019640398025512,0.08987723442912102,0.08945892882347108,
freetimegs-sparse,11750.5,0.08884834655125935,0.08950650192797184,0.08860399809479713,0.0884345396310091,
freetimegs-sparse,12250.5,0.08717670656243959,0.08772053252160548,0.08709832713007927,0.08671126003563404,
freetimegs-sparse,12750.5,0.08678819389641285,0.08737524582445622,0.08642761948704719,0.08656171637773513,
freetimegs-sparse,13250.5,0.08519163728257022,0.08511039282381534,0.08479453893005848,0.08566998009383678,
freetimegs-sparse,13750.5,0.08408366213242213,0.08433150358498097,0.08321170218288898,0.08470778062939643,
freetimegs-sparse,14250.5,0.08299789892633756,0.08320718811452389,0.08354928779602051,0.08223722086846828,
freetimegs-sparse,14750.5,0.08219528711835544,0.08151586352288723,0.08297747400403023,0.08209252382814884,
freetimegs-sparse,15250.5,0.08120229508479436,0.08033645708858966,0.08192905554175377,0.08134137262403965,
freetimegs-sparse,15750.5,0.08062508215506872,0.07987974594533444,0.08088378132879734,0.08111171919107438,
freetimegs-sparse,16250.5,0.07921793014804522,0.07930244129896163,0.078786547832191,0.07956480131298303,
freetimegs-sparse,16750.5,0.07880287829786539,0.07721800239384174,0.07984987875074148,0.07934075374901295,
freetimegs-sparse,17250.5,0.07818027196079493,0.07791000212728977,0.0784454310387373,0.07818538271635771,
freetimegs-sparse,17750.5,0.07721180327733358,0.07687456947565079,0.07695923516154289,0.07780160519480706,
freetimegs-sparse,18250.5,0.0767207044934233,0.07591227621585131,0.07694736590236426,0.07730247136205434,
freetimegs-sparse,18750.5,0.07639127625028293,0.07558495698869229,0.07694850350171327,0.07664036826044321,
freetimegs-sparse,19250.5,0.07527385417868694,0.0746734134554863,0.07570106595754623,0.07544708312302828,
freetimegs-sparse,19750.5,0.07471258553614218,0.07437678999453783,0.07546180269122124,0.0742991639226675,
freetimegs-sparse,20250.5,0.07446552394330502,0.07377163542807103,0.07553953482955694,0.07408540157228709,0.07395586465804223
freetimegs-sparse,20750.5,0.07294487793495258,0.0726724907308817,0.07324284648150206,0.07291929659247398,0.07346435509824079
freetimegs-sparse,21250.5,0.07315782471746207,0.07311403971165419,0.0740823243111372,0.0722771101295948,0.07298725385296442
freetimegs-sparse,21750.5,0.07276002733161052,0.07213190082460642,0.07384189528226852,0.07230628588795662,0.07252413855092187
freetimegs-sparse,22250.5,0.07209755048404139,0.07194606320559979,0.07283678540587425,0.07150980284065009,0.07207459920238854
freetimegs-sparse,22750.5,0.07140040873239438,0.07099682447314262,0.07214282337576151,0.071061578348279,0.07163823783624826
freetimegs-sparse,23250.5,0.07121781145284574,0.0708692499101162,0.07179734767228364,0.07098683677613735,0.07121466814767471
freetimegs-sparse,23750.5,0.07064033844570318,0.07022217011451722,0.07196221303939819,0.06973663218319416,0.07080351515614104
freetimegs-sparse,24250.5,0.07049420314282179,0.0700070341527462,0.07184234662353993,0.06963322865217925,0.07040441487345467
freetimegs-sparse,24750.5,0.06998520424962044,0.06889542651176453,0.07173820901662112,0.06932197722047567,0.07001701398152342
freetimegs-sparse,25250.5,0.06941856471697488,0.06931081965565682,0.06997856833040714,0.06896630616486073,0.06964096951956782
freetimegs-sparse,25750.5,0.06918090213835239,0.0688879586532712,0.06983280228823423,0.06882194547355175,0.06927594858050251
freetimegs-sparse,26250.5,0.0690643312583367,0.06839514371752739,0.07102807531505823,0.06776977474242449,0.06892162801621816
freetimegs-sparse,26750.5,0.06839655790974697,0.0683877577856183,0.06868666723370552,0.06811524870991707,0.06857769415150275
freetimegs-sparse,27250.5,0.06837131211906672,0.06766349309682847,0.0695357205569744,0.06791472270339727,0.06824384250634916
freetimegs-sparse,27750.5,0.06767891819526752,0.0671230336278677,0.06876892438530922,0.06714479657262563,0.0679197775264031
freetimegs-sparse,28250.5,0.0678170187274615,0.06778755924105644,0.06911361573636532,0.06654988120496273,0.06760521232131295
freetimegs-sparse,28750.5,0.06719623725861311,0.0665621542558074,0.06847053613513708,0.06655602138489485,0.06729986841074943
freetimegs-sparse,29250.5,0.06694515080501635,0.06647759211063385,0.06812952546030283,0.06622833484411239,0.06700347547787086
freetimegs-sparse,29750.5,0.06672610514362654,0.0662034556940198,0.06839418718963862,0.06558067254722118,0.06671577113001524
freetimegs-sparse,30250.5,0.06627843875437976,0.06592224271595479,0.06750217728316783,0.06541089626401662,0.06643650066640759
freetimegs-sparse,30750.5,0.06633387962480387,0.06567662381380797,0.06741513324528933,0.06590988181531429,0.06616541685267681
freetimegs-sparse,31250.5,0.06613810556630294,0.06590345944464207,0.06720534641295671,0.06530551084131002,0.0659022797019824
freetimegs-sparse,31750.5,0.06558126183102529,0.06494846577197314,0.06675692415982484,0.06503839556127787,0.06564685626255734
freetimegs-sparse,32250.5,0.06535300408303737,0.06507370864599943,0.06650006630271674,0.06448523730039596,0.0653989204114791
freetimegs-sparse,32750.5,0.06497846333682537,0.0649416230916977,0.06611548984050751,0.06387827707827091,0.06515825265448599
freetimegs-sparse,33250.5,0.06486459224671126,0.06431841725111008,0.06599151287972928,0.06428384660929441,0.06492463993166192
freetimegs-sparse,33750.5,0.06477242741485438,0.06418201187252999,0.0656480145305395,0.0644872558414936,0.06469787542881728
freetimegs-sparse,34250.5,0.06439371547599633,0.0638137748464942,0.06572528535127639,0.06364208623021841,0.06447775839439915
freetimegs-sparse,34750.5,0.06464773181329171,0.06465866920351983,0.06535116745531559,0.06393335878103971,0.06426409396176867
freetimegs-sparse,35250.5,0.06401318188508351,0.06366838996112346,0.06562844195216894,0.06274271374195814,0.06405669297668824
freetimegs-sparse,35750.5,0.06394199477881193,0.06382400803267956,0.06487886694818736,0.06312310935556889,0.06385537182986582
freetimegs-sparse,36250.5,0.06388011403630177,0.06311759766191244,0.06467232247442008,0.0638504219725728,0.06365995229440807
freetimegs-sparse,36750.5,0.06355990318208933,0.06296565326303244,0.06455484673380851,0.06315920954942703,0.06347026136803853
freetimegs-sparse,37250.5,0.0629794502829512,0.06293833780288696,0.0636426838338375,0.062357329212129116,0.06328613111994102
freetimegs-sparse,37750.5,0.06305574389795462,0.06281485798954964,0.0643319235444069,0.06202045015990734,0.0631073985420928
freetimegs-sparse,38250.5,0.06311915317674477,0.06316323195397854,0.06389315301924944,0.062301074557006356,0.06293390540495566
freetimegs-sparse,38750.5,0.06268038950860501,0.06177681802213192,0.0639388135895133,0.06232553691416979,0.06276549811739758
freetimegs-sparse,39250.5,0.06252882324159145,0.06227366711944342,0.06345636743307113,0.061856435172259805,0.06260202759072048
freetimegs-sparse,39750.5,0.062408176859219865,0.06189353402704,0.06287277825921773,0.062458218291401864,0.062443349106674026
freetimegs-sparse,40250.5,0.0625274913435181,0.06194173962622881,0.0639604913443327,0.06168024305999279,0.06228932218933857
freetimegs-sparse,40750.5,0.062271598408619566,0.06175150242447853,0.0633537297025323,0.06170956309884787,0.06213981048076364
freetimegs-sparse,41250.5,0.06183201331148545,0.06146095348894596,0.06259043352305889,0.0614446529224515,0.06199468162025214
freetimegs-sparse,41750.5,0.062008126157025494,0.06192289600521326,0.06315425056219101,0.06094723190367222,0.06185380712718318
freetimegs-sparse,42250.5,0.06149650519092878,0.061566833637654785,0.06176138851046562,0.061161293424665926,0.06171706228726993
freetimegs-sparse,42750.5,0.06165811371058225,0.06073758356273174,0.06293698271363973,0.06129977485537529,0.06158432604215178
freetimegs-sparse,43250.5,0.06156118767460187,0.061021476723253726,0.06283198330551386,0.060830102995038035,0.06145548088222291
freetimegs-sparse,43750.5,0.06100990213950475,0.06073495048284531,0.0616576668843627,0.06063708905130625,0.06133041274260275
freetimegs-sparse,44250.5,0.06143610851963361,0.061617637172341345,0.06208598931878805,0.06060469906777143,0.06120901090215578
freetimegs-sparse,44750.5,0.06132604062308868,0.060854893326759335,0.06271058998256922,0.060412638559937476,0.06109116788547165
freetimegs-sparse,45250.5,0.06078122372180223,0.06078790070861578,0.061479507863521576,0.06007626259326935,0.06097677936771864
freetimegs-sparse,45750.5,0.06103003586580356,0.06036387110501528,0.06173065420240164,0.060995582289993765,0.060865744082286295
freetimegs-sparse,46250.5,0.060848935102423035,0.06056292720884085,0.061886840410530566,0.06009703768789768,0.06075796373113548
freetimegs-sparse,46750.5,0.060679592515031494,0.06054324385523796,0.061186085283756256,0.06030944840610027,0.0606533428977764
freetimegs-sparse,47250.5,0.06025385003785292,0.0599438443928957,0.06125210376828909,0.05956560195237398,0.06055178896279774
freetimegs-sparse,47750.5,0.060322638198733326,0.05983890274912119,0.06129804587364197,0.05983096597343683,0.0604532120218719
freetimegs-sparse,48250.5,0.06059210526446501,0.06010705286264419,0.061528182744979856,0.06014108018577099,0.06035752480616393
freetimegs-sparse,48750.5,0.06008362219234307,0.05946437487751245,0.06106967083364725,0.05971682086586952,0.06026464260507359
freetimegs-sparse,49250.5,0.060370556972920895,0.060317965485155584,0.061420842073857784,0.05937286335974932,0.060174483191242224
freetimegs-sparse,49750.5,0.05979189553111791,0.05952357394248247,0.060595699451863765,0.05925641319900751,0.06008696674775798
